trail,learning_rate,student_architecture,teacher_architecture,distill,epoch,train_acc,train_loss,test_acc,test_loss,test_acc_top5,loss,student_model,teacher_model,dataset,distill_method,weight_cls,use_labels,weight_div,weight_other,lr_decay_epochs,loss_function,trial_number
0,0.01,MobileNetV2_1_0,resnet32x4,simkd_mp,240,82.22,-1673484.2244,70.29,367580.755382,92.22,KL,MobileNetV2_1_0,resnet32x4,cifar100,simkd_mp,1.0,False,1.0,1.0,150_180_210,KL,0
1,0.01,MobileNetV2_1_0,resnet32x4,simkd_mp,240,81.264,-1660559.74212,69.81,543821.969637,91.67,KL,MobileNetV2_1_0,resnet32x4,cifar100,simkd_mp,1.0,False,1.0,1.0,150_180_210,KL,1
2,0.01,MobileNetV2_1_0,resnet32x4,simkd_mp,240,79.152,-1617040.08716,67.68,1.339702,90.72,KL,MobileNetV2_1_0,resnet32x4,cifar100,simkd_mp,1.0,False,1.0,1.0,150_180_210,KL,2
0,0.01,MobileNetV2_1_0,resnet32x4,simkd_mp,240,91.356,1.61627,71.74,1.336904,92.13,l2,MobileNetV2_1_0,resnet32x4,cifar100,simkd_mp,1.0,False,1.0,1.0,150_180_210,l2,0
1,0.01,MobileNetV2_1_0,resnet32x4,simkd_mp,240,92.442,1.586899,71.5,1.338364,91.91,l2,MobileNetV2_1_0,resnet32x4,cifar100,simkd_mp,1.0,False,1.0,1.0,150_180_210,l2,1
0,0.01,MobileNetV2_1_0,resnet32x4,simkd_mp,240,70.93,-1531183.28796,62.71,1.068979810446428e+23,87.8,KL,MobileNetV2_1_0,resnet32x4,cifar100,simkd_mp,1.0,True,1.0,1.0,150_180_210,KL,0
1,0.01,MobileNetV2_1_0,resnet32x4,simkd_mp,240,81.722,-1663599.3174,70.09,9.450136564716195e+19,91.05,KL,MobileNetV2_1_0,resnet32x4,cifar100,simkd_mp,1.0,True,1.0,1.0,150_180_210,KL,1
2,0.01,MobileNetV2_1_0,resnet32x4,simkd_mp,240,77.512,-1595298.39904,67.83,13566.444947,90.62,KL,MobileNetV2_1_0,resnet32x4,cifar100,simkd_mp,1.0,True,1.0,1.0,150_180_210,KL,2
0,0.01,MobileNetV2_1_0,resnet32x4,simkd_mp,240,91.91,1.587336,71.93,1.338507,91.77,l2,MobileNetV2_1_0,resnet32x4,cifar100,simkd_mp,1.0,True,1.0,1.0,150_180_210,l2,0
1,0.01,MobileNetV2_1_0,resnet32x4,simkd_mp,240,92.296,1.576323,72.21,1.302099,92.01,l2,MobileNetV2_1_0,resnet32x4,cifar100,simkd_mp,1.0,True,1.0,1.0,150_180_210,l2,1
2,0.01,MobileNetV2_1_0,resnet32x4,unb_proj,240,1.0,1.509669,71.61,1.341384,91.74,,MobileNetV2_1_0,resnet32x4,cifar100,unb_proj,1.0,False,1.0,0.0,150_180_210,None,2
1,0.01,MobileNetV2_1_0,resnet32x4,unb_proj,240,91.476,1.464885,72.11,1.291728,92.3,,MobileNetV2_1_0,resnet32x4,cifar100,unb_proj,1.0,False,1.0,1.0,150_180_210,None,1
2,0.01,MobileNetV2_1_0,resnet32x4,unb_proj,240,1.0,1.448552,72.31,1.314216,92.09,KL,MobileNetV2_1_0,resnet32x4,cifar100,unb_proj,1.0,True,1.0,0.0,150_180_210,KL,2
2,0.01,MobileNetV2_1_0,resnet32x4,unb_proj,240,1.0,1.444897,71.81,1.326688,92.07,l2,MobileNetV2_1_0,resnet32x4,cifar100,unb_proj,1.0,True,1.0,0.0,150_180_210,l2,2
1,0.01,MobileNetV2_1_0,resnet32x4,unb_proj,240,89.598,-2689091.42168,72.89,1.28277,92.24,KL,MobileNetV2_1_0,resnet32x4,cifar100,unb_proj,1.0,True,1.0,1.0,150_180_210,KL,1
0,0.01,MobileNetV2_1_0,resnet32x4,unb_proj,240,90.74,1.514769,71.79,1.319249,92.14,,MobileNetV2_1_0,resnet32x4,cifar100,unb_proj,1.0,True,1.0,1.0,150_180_210,None,0
1,0.01,MobileNetV2_1_0,resnet32x4,unb_proj,240,90.91,1.50426,72.02,1.321036,92.23,l2,MobileNetV2_1_0,resnet32x4,cifar100,unb_proj,1.0,True,1.0,1.0,150_180_210,l2,1
0,0.01,MobileNetV2_Original,resnet32x4,simkd,240,1.0,2.538381,67.16,1.497938,89.84,KL,MobileNetV2_Original,resnet32x4,cifar100,simkd,1.0,False,1.0,0.0,150_180_210,KL,0
0,0.01,MobileNetV2_Original,resnet32x4,simkd,240,1.0,2.530504,67.73,1.480102,90.16,l2,MobileNetV2_Original,resnet32x4,cifar100,simkd,1.0,False,1.0,0.0,150_180_210,l2,0
0,0.01,MobileNetV2_Original,resnet32x4,simkd,240,65.182,-2827315.5596,60.87,1.613485,86.66,KL,MobileNetV2_Original,resnet32x4,cifar100,simkd,1.0,False,1.0,1.0,150_180_210,KL,0
0,0.01,MobileNetV2_Original,resnet32x4,simkd,240,81.342,2.669652,67.83,1.476106,90.35,l2,MobileNetV2_Original,resnet32x4,cifar100,simkd,1.0,False,1.0,1.0,150_180_210,l2,0
